ts,ts_iso_utc,window_seconds,file_modification_rate,rename_count,file_creation_count,file_deletion_count,cpu_usage_percent,memory_usage_percent,process_spike
1772713564.58406,2026-03-05T12:26:04.584063+00:00,5,0,0,0,0,4.6,55.6,0
1772713569.5930865,2026-03-05T12:26:09.593090+00:00,5,0,0,0,0,4.1,55.6,0
1772713574.6008935,2026-03-05T12:26:14.600897+00:00,5,0,0,0,0,5.4,55.7,2
1772713579.6086922,2026-03-05T12:26:19.608695+00:00,5,0,0,0,0,3.5,55.6,-2
1772713584.616184,2026-03-05T12:26:24.616188+00:00,5,0,0,0,0,2.5,55.5,-1
1772713589.6242826,2026-03-05T12:26:29.624285+00:00,5,0,0,0,0,3.2,55.5,0
1772713594.6316404,2026-03-05T12:26:34.631644+00:00,5,0,0,0,0,4.4,55.5,0
1772713599.639037,2026-03-05T12:26:39.639040+00:00,5,0,0,0,0,5.2,55.7,1
1772714799.0656037,2026-03-05T12:46:39.065607+00:00,5,0,0,0,0,0.1,55.9,1
1772714804.0811281,2026-03-05T12:46:44.081130+00:00,5,0,0,0,0,45.1,58.2,15
1772714809.0905643,2026-03-05T12:46:49.090567+00:00,5,0,0,0,0,27.0,58.4,-1
1772714814.0985937,2026-03-05T12:46:54.098597+00:00,5,0,0,0,0,11.0,58.9,-2
1772714819.1058037,2026-03-05T12:46:59.105807+00:00,5,0,0,0,0,11.4,59.5,-6
1772714824.1150377,2026-03-05T12:47:04.115043+00:00,5,0,0,0,0,5.3,59.3,-1
1772714829.1233263,2026-03-05T12:47:09.123329+00:00,5,0,0,0,0,5.3,59.3,-2
1772714834.1313848,2026-03-05T12:47:14.131388+00:00,5,0,0,0,0,8.9,59.5,7
1772714839.141616,2026-03-05T12:47:19.141619+00:00,5,0,0,0,0,11.1,59.5,0
1772714844.1496642,2026-03-05T12:47:24.149668+00:00,5,0,0,0,0,4.4,59.4,-2
1772714849.157718,2026-03-05T12:47:29.157722+00:00,5,0,0,0,0,7.6,59.6,4
1772714854.1657958,2026-03-05T12:47:34.165798+00:00,5,0,0,0,0,7.2,59.5,0
1772714859.1750593,2026-03-05T12:47:39.175062+00:00,5,0,0,0,0,9.3,59.5,0
1772714890.6973262,2026-03-05T12:48:10.697329+00:00,5,0,0,0,0,3.7,59.8,2
1772714895.707957,2026-03-05T12:48:15.707960+00:00,5,0,0,0,0,28.5,58.3,-4
1772714900.7635264,2026-03-05T12:48:20.763530+00:00,5,0,0,0,0,10.2,58.7,2
1772714905.7824407,2026-03-05T12:48:25.782444+00:00,5,0,0,0,0,24.9,59.3,-4
1772714910.7910912,2026-03-05T12:48:30.791094+00:00,5,0,0,0,0,11.8,59.0,1
1772714915.7990077,2026-03-05T12:48:35.799010+00:00,5,0,0,0,0,6.0,59.0,2
1772714920.805461,2026-03-05T12:48:40.805463+00:00,5,0,0,0,0,7.2,58.9,-2
1772714925.8125484,2026-03-05T12:48:45.812552+00:00,5,0,0,0,0,9.9,58.8,-1
1772714930.8191874,2026-03-05T12:48:50.819190+00:00,5,0,0,0,0,10.4,58.8,-3
1772714935.8256745,2026-03-05T12:48:55.825677+00:00,5,0,0,0,0,9.5,59.3,-2
1772714940.8325386,2026-03-05T12:49:00.832541+00:00,5,0,0,0,0,9.7,59.3,0
1772714945.8391438,2026-03-05T12:49:05.839146+00:00,5,0,0,0,0,8.1,59.3,0
1772714950.8463597,2026-03-05T12:49:10.846362+00:00,5,0,0,0,0,16.3,59.2,0
1772714955.85486,2026-03-05T12:49:15.854863+00:00,5,0,0,0,0,12.7,58.9,-2
1772714960.8620708,2026-03-05T12:49:20.862073+00:00,5,0,0,0,0,6.2,59.0,0
1772714965.8686802,2026-03-05T12:49:25.868683+00:00,5,0,0,0,0,5.4,58.9,0
1772714970.8749409,2026-03-05T12:49:30.874943+00:00,5,0,0,0,0,8.1,58.9,0
1772714975.8815248,2026-03-05T12:49:35.881528+00:00,5,0,0,0,0,6.3,58.9,0
1772714980.8876796,2026-03-05T12:49:40.887682+00:00,5,0,0,0,0,8.6,58.5,2
1772714985.8953888,2026-03-05T12:49:45.895393+00:00,5,0,0,0,0,7.6,58.4,-2
1772714990.9016585,2026-03-05T12:49:50.901661+00:00,5,0,0,0,0,5.6,58.4,0
1772714995.907967,2026-03-05T12:49:55.907971+00:00,5,0,0,0,0,12.6,59.0,0
1772715000.91532,2026-03-05T12:50:00.915322+00:00,5,0,0,0,0,9.7,58.7,0
1772715005.9211235,2026-03-05T12:50:05.921128+00:00,5,0,0,0,0,16.2,58.8,0
1772715010.9293478,2026-03-05T12:50:10.929350+00:00,5,0,0,0,0,19.5,58.9,0
1772715015.9378872,2026-03-05T12:50:15.937889+00:00,5,0,0,0,0,7.7,58.8,0
1772715020.9448712,2026-03-05T12:50:20.944875+00:00,5,0,0,0,0,4.0,58.9,0
1772715025.9514048,2026-03-05T12:50:25.951407+00:00,5,0,0,0,0,4.7,58.9,2
1772715030.9579806,2026-03-05T12:50:30.957984+00:00,5,0,0,0,0,4.5,58.5,-2
1772715035.9649286,2026-03-05T12:50:35.964931+00:00,5,0,0,0,0,3.3,58.1,0
1772715040.9716845,2026-03-05T12:50:40.971687+00:00,5,0,0,0,0,7.9,58.1,0
1772715045.9792361,2026-03-05T12:50:45.979239+00:00,5,0,0,0,0,6.4,58.0,0
1772715050.985523,2026-03-05T12:50:50.985526+00:00,5,0,0,0,0,4.3,58.0,0
1772715055.992548,2026-03-05T12:50:55.992551+00:00,5,0,0,0,0,5.7,58.0,0
1772715060.9989362,2026-03-05T12:51:00.998938+00:00,5,0,0,0,0,5.7,58.0,0
1772715066.0056233,2026-03-05T12:51:06.005627+00:00,5,1,2,1,0,8.9,58.4,-2
